******0.9825	0.898566 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:45:45, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:45:45, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.98186	0.898558 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981215	0.895469 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98428	0.901648 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98131	0.895984 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981049	0.894439 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981273	0.896498 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.981831	0.897528 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98197	0.900103 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980998	0.895469 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.982977	0.898043 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:45:51, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:49:31, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.979964	0.890515 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979964	0.890515 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 09:52:18, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 09:54:33, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.979925	0.890293 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980571	0.890799 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980637	0.891304 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979858	0.888777 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980065	0.892315 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.979872	0.889282 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98007	0.889788 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980259	0.890293 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.980033	0.890293 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
